trade_id,symbol,date,entry_time,entry_price,exit_time,exit_price,exit_reason,profit_pct,profit_abs,hold_time_minutes,timeframe_minutes,green_threshold,take_profit_pct,trailing_stop_pct,json_file
1,VERB,2025-08-04,2025-08-04 12:49:00,19.96,2025-08-04 13:01:00-04:00,23.12,take_profit,15.831663326653306,3.16,12.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154931.json
2,VERB,2025-08-04,2025-08-04 12:54:00,22.15,2025-08-04 13:11:00-04:00,25.63,take_profit,15.711060948081268,3.4800000000000004,17.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154937.json
3,VERB,2025-08-04,2025-08-04 13:00:00,22.17,2025-08-04 13:11:00-04:00,25.63,take_profit,15.606675687866472,3.4599999999999973,11.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154941.json
4,VERB,2025-08-04,2025-08-04 12:57:00,22.25,2025-08-04 13:11:00-04:00,25.63,take_profit,15.19101123595505,3.379999999999999,14.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154940.json
5,VERB,2025-08-04,2025-08-04 12:50:00,20.67,2025-08-04 13:05:00-04:00,24.285,take_profit,17.48911465892597,3.6149999999999984,15.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154932.json
6,VERB,2025-08-04,2025-08-04 13:10:00,25.02,2025-08-04 13:33:00-04:00,29.22,take_profit,16.786570743405274,4.199999999999999,23.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154949.json
7,VERB,2025-08-04,2025-08-04 13:07:00,24.925,2025-08-04 13:33:00-04:00,29.22,take_profit,17.23169508525576,4.294999999999998,26.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154947.json
8,VERB,2025-08-04,2025-08-04 12:56:00,22.25,2025-08-04 13:11:00-04:00,25.63,take_profit,15.19101123595505,3.379999999999999,15.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154939.json
9,VERB,2025-08-04,2025-08-04 12:53:00,22.93,2025-08-04 13:12:00-04:00,27.53,take_profit,20.061055385957268,4.600000000000001,19.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154936.json
10,VERB,2025-08-04,2025-08-04 13:01:00,23.12,2025-08-04 13:12:00-04:00,27.53,take_profit,19.074394463667822,4.41,11.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154942.json
11,VERB,2025-08-04,2025-08-04 12:55:00,22.48,2025-08-04 13:12:00-04:00,27.53,take_profit,22.464412811387906,5.050000000000001,17.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154938.json
12,VERB,2025-08-04,2025-08-04 13:06:00,24.87,2025-08-04 13:33:00-04:00,29.22,take_profit,17.490952955367902,4.349999999999998,27.0,20,0.6,15,20.0,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.6_baab702e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250817_154946.json
